Region,Country,Brand,Model,Coverage,Group1,Group2,Group3,Group4,Data 1 1,Data 1 2,Data 1 3,Data 1 4,Data 2 1,Data 2 2,Data 2 3,Data 2 4,Data 3 1,Data 3 2,Data 3 3,Data 3 4,Data 4 1,Data 4 2,Data 4 3,Data 4 4
Europe,De,Audi,A1,75,75,100,75,50,100,100,0,100,100,100,100,100,100,100,100,0,100,0,0,100
Europe,De,Audi,A2,62.5,50,75,75,50,0,0,100,100,100,100,100,0,100,0,100,100,0,100,100,0
Europe,De,Audi,A3,50,50,75,25,50,0,0,100,100,100,0,100,100,0,0,100,0,100,0,100,0
Europe,De,Audi,A4,62.5,75,50,75,50,0,100,100,100,0,100,0,100,100,0,100,100,0,100,0,100
Europe,De,Audi,A6,62.5,75,50,50,75,100,0,100,100,100,100,0,0,0,0,100,100,100,0,100,100
Europe,De,Audi,A8,56.25,25,50,50,100,100,0,0,0,0,100,0,100,100,0,100,0,100,100,100,100
Europe,De,Volkswagen,Polo,62.5,50,100,50,50,0,100,100,0,100,100,100,100,100,0,0,100,100,100,0,0
Europe,De,Volkswagen,Golf,31.25,0,50,25,50,0,0,0,0,0,100,100,0,0,100,0,0,0,100,100,0
Europe,De,Volkswagen,Jetta,37.5,25,75,0,50,0,0,0,100,100,100,100,0,0,0,0,0,0,0,100,100
Europe,De,Volkswagen,Passat,56.25,50,50,75,50,0,100,0,100,100,0,100,0,100,100,0,100,0,0,100,100
Europe,De,Volkswagen,Beetle,43.75,25,75,50,25,0,0,100,0,100,0,100,100,0,100,0,100,0,0,0,100
Europe,De,Volkswagen,T5,56.25,50,75,50,50,0,100,100,0,100,100,0,100,100,0,100,0,0,0,100,100
Europe,De,Seat,Leon,31.25,25,25,0,75,0,0,100,0,100,0,0,0,0,0,0,0,100,100,100,0
Europe,De,Seat,Cordoba,37.5,25,25,50,50,100,0,0,0,0,100,0,0,100,100,0,0,100,0,0,100
Europe,De,Seat,Ateca,62.5,75,25,100,50,0,100,100,100,0,0,0,100,100,100,100,100,0,0,100,100
Europe,De,Seat,Alhambra,37.5,25,50,50,25,0,0,0,100,100,0,100,0,0,0,100,100,0,0,0,100
Europe,De,Mercedes,C100,31.25,0,0,50,75,0,0,0,0,0,0,0,0,100,100,0,0,100,100,0,100
Europe,De,Mercedes,E500,56.25,25,75,50,75,100,0,0,0,100,100,100,0,100,0,0,100,100,100,100,0
Europe,De,Mercedes,C230,31.25,50,25,50,0,100,100,0,0,0,0,100,0,100,100,0,0,0,0,0,0
Europe,De,Mercedes,EQS,62.5,50,50,50,100,100,0,100,0,100,100,0,0,0,100,0,100,100,100,100,100
Europe,De,Mercedes,EQE,18.75,0,50,0,25,0,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0
Europe,FR,Audi,A1,75,75,100,75,50,100,100,0,100,100,100,100,100,100,100,100,0,100,0,0,100
Europe,FR,Audi,A2,31.25,50,0,50,25,100,0,0,100,0,0,0,0,0,0,100,100,0,0,100,0
Europe,FR,Audi,A3,56.25,50,75,50,50,0,100,0,100,100,100,100,0,100,100,0,0,100,0,0,100
Europe,FR,Audi,A4,62.5,50,50,75,75,100,100,0,0,100,0,100,0,100,0,100,100,0,100,100,100
Europe,FR,Audi,A6,62.5,50,75,50,75,0,0,100,100,100,100,100,0,0,100,0,100,100,100,0,100
Europe,FR,Audi,A8,37.5,50,75,0,25,100,0,0,100,100,0,100,100,0,0,0,0,0,100,0,0
Europe,FR,Volkswagen,Polo,37.5,25,75,25,25,0,0,0,100,100,100,100,0,0,0,100,0,0,100,0,0
Europe,FR,Volkswagen,Golf,56.25,25,75,75,50,0,0,0,100,100,0,100,100,100,0,100,100,0,100,100,0
Europe,FR,Volkswagen,Jetta,50,50,75,50,25,0,100,0,100,100,100,0,100,100,100,0,0,0,0,0,100
Europe,FR,Volkswagen,Passat,37.5,75,25,25,25,100,0,100,100,100,0,0,0,100,0,0,0,0,0,0,100
Europe,FR,Volkswagen,Beetle,56.25,25,75,75,50,0,0,0,100,100,100,100,0,0,100,100,100,0,100,100,0
Europe,FR,Volkswagen,T5,75,75,75,75,75,100,100,100,0,0,100,100,100,100,0,100,100,100,100,0,100
Europe,FR,Seat,Leon,56.25,25,75,50,75,0,0,0,100,100,0,100,100,0,0,100,100,100,100,0,100
Europe,FR,Seat,Cordoba,31.25,50,0,25,50,0,0,100,100,0,0,0,0,100,0,0,0,0,100,100,0
Europe,FR,Seat,Ateca,50,50,75,25,50,0,0,100,100,0,100,100,100,0,0,100,0,0,100,0,100
Europe,FR,Seat,Alhambra,75,50,75,75,100,100,100,0,0,100,100,100,0,100,100,0,100,100,100,100,100
Europe,FR,Mercedes,C100,50,75,25,50,50,100,0,100,100,0,0,100,0,100,0,0,100,0,100,100,0
Europe,FR,Mercedes,E500,37.5,75,0,50,25,100,0,100,100,0,0,0,0,100,0,0,100,0,0,100,0
Europe,FR,Mercedes,C230,43.75,50,50,25,50,0,100,100,0,0,100,0,100,100,0,0,0,100,100,0,0
Europe,FR,Mercedes,EQS,37.5,25,50,0,75,100,0,0,0,0,100,0,100,0,0,0,0,0,100,100,100
Europe,FR,Mercedes,EQE,43.75,50,50,25,50,0,0,100,100,0,100,0,100,0,0,100,0,100,100,0,0
Europe,IT,Audi,A1,75,75,100,75,50,100,100,0,100,100,100,100,100,100,100,100,0,100,0,0,100
Europe,IT,Audi,A2,56.25,0,50,100,75,0,0,0,0,0,100,0,100,100,100,100,100,100,0,100,100
Europe,IT,Audi,A3,37.5,50,25,25,50,0,100,100,0,0,0,0,100,0,0,100,0,0,100,100,0
Europe,IT,Audi,A4,43.75,25,50,50,50,100,0,0,0,0,100,0,100,0,100,100,0,0,0,100,100
Europe,IT,Audi,A6,50,100,0,75,25,100,100,100,100,0,0,0,0,100,100,100,0,0,100,0,0
Europe,IT,Audi,A8,50,100,50,25,25,100,100,100,100,0,100,0,100,100,0,0,0,0,0,0,100
Europe,IT,Volkswagen,Polo,31.25,25,25,50,25,0,0,100,0,0,0,0,100,100,0,0,100,0,100,0,0
Europe,IT,Volkswagen,Golf,50,50,75,50,25,0,100,100,0,100,100,0,100,100,100,0,0,100,0,0,0
Europe,IT,Volkswagen,Jetta,50,25,25,75,75,0,0,0,100,100,0,0,0,100,100,100,0,0,100,100,100
Europe,IT,Volkswagen,Passat,56.25,50,25,100,50,100,100,0,0,100,0,0,0,100,100,100,100,100,0,0,100
Europe,IT,Volkswagen,Beetle,31.25,25,25,50,25,0,100,0,0,0,0,0,100,100,100,0,0,0,100,0,0
Europe,IT,Volkswagen,T5,43.75,50,50,25,50,100,0,100,0,100,100,0,0,0,0,100,0,0,100,0,100
Europe,IT,Seat,Leon,43.75,50,25,50,50,0,100,0,100,100,0,0,0,0,100,100,0,100,0,0,100
Europe,IT,Seat,Cordoba,62.5,50,50,75,75,100,0,100,0,0,100,100,0,100,100,100,0,100,0,100,100
Europe,IT,Seat,Ateca,37.5,50,25,25,50,0,100,100,0,0,0,0,100,0,0,100,0,100,0,0,100
Europe,IT,Seat,Alhambra,56.25,75,25,75,50,100,100,0,100,0,0,0,100,0,100,100,100,0,100,0,100
Europe,IT,Mercedes,C100,56.25,50,75,75,25,0,100,100,0,100,100,0,100,0,100,100,100,0,0,0,100
Europe,IT,Mercedes,E500,43.75,50,25,50,50,100,0,0,100,0,100,0,0,100,100,0,0,0,0,100,100
Europe,IT,Mercedes,C230,62.5,75,75,75,25,100,0,100,100,100,100,0,100,100,100,0,100,0,0,0,100
Europe,IT,Mercedes,EQS,68.75,75,75,50,75,100,100,100,0,100,100,100,0,0,0,100,100,100,100,100,0
Europe,IT,Mercedes,EQE,43.75,25,50,50,50,0,0,0,100,100,0,0,100,100,100,0,0,0,100,0,100
Australia,Aus,Audi,A1,75,75,100,75,50,100,100,0,100,100,100,100,100,100,100,100,0,100,0,0,100
Australia,Aus,Audi,A2,62.5,75,0,100,75,100,0,100,100,0,0,0,0,100,100,100,100,100,100,0,100
Australia,Aus,Audi,A3,43.75,50,25,75,25,0,100,0,100,0,100,0,0,100,100,100,0,0,0,100,0
Australia,Aus,Audi,A4,56.25,50,50,50,75,0,0,100,100,100,100,0,0,0,100,100,0,100,100,100,0
Australia,Aus,Audi,A6,43.75,75,25,25,50,100,100,0,100,100,0,0,0,0,0,100,0,100,0,100,0
Australia,Aus,Audi,A8,43.75,25,50,50,50,100,0,0,0,100,0,100,0,100,0,100,0,100,100,0,0
Australia,Aus,Volkswagen,Polo,50,25,50,50,75,0,0,0,100,100,100,0,0,100,0,0,100,100,100,0,100
Australia,Aus,Volkswagen,Golf,43.75,25,75,25,50,0,0,100,0,0,100,100,100,0,100,0,0,0,100,100,0
Australia,Aus,Volkswagen,Jetta,31.25,50,75,0,0,100,100,0,0,100,0,100,100,0,0,0,0,0,0,0,0
Australia,Aus,Volkswagen,Passat,62.5,0,100,50,100,0,0,0,0,100,100,100,100,100,100,0,0,100,100,100,100
Australia,Aus,Volkswagen,Beetle,31.25,0,25,25,75,0,0,0,0,0,0,100,0,0,0,0,100,100,100,100,0
Australia,Aus,Volkswagen,T5,56.25,50,50,100,25,0,100,100,0,0,0,100,100,100,100,100,100,0,0,0,100
Australia,Aus,Seat,Leon,62.5,50,25,100,75,0,0,100,100,0,0,100,0,100,100,100,100,0,100,100,100
Australia,Aus,Seat,Cordoba,43.75,50,50,50,25,0,0,100,100,100,100,0,0,0,100,0,100,100,0,0,0
Australia,Aus,Seat,Ateca,56.25,50,50,25,100,0,100,100,0,0,100,0,100,100,0,0,0,100,100,100,100
Australia,Aus,Seat,Alhambra,31.25,25,25,50,25,0,100,0,0,0,0,0,100,100,0,0,100,100,0,0,0
Australia,Aus,Mercedes,C100,56.25,75,50,75,25,0,100,100,100,100,100,0,0,0,100,100,100,0,100,0,0
Australia,Aus,Mercedes,E500,56.25,50,75,50,50,0,0,100,100,0,100,100,100,0,100,100,0,100,0,0,100
Australia,Aus,Mercedes,C230,43.75,50,25,50,50,100,0,0,100,100,0,0,0,0,100,100,0,100,100,0,0
Australia,Aus,Mercedes,EQS,62.5,50,50,75,75,0,0,100,100,0,0,100,100,0,100,100,100,100,100,100,0
Australia,Aus,Mercedes,EQE,56.25,25,50,100,50,0,100,0,0,100,0,100,0,100,100,100,100,0,100,100,0
Middle East,ISR,Audi,A1,75,75,100,75,50,100,100,0,100,100,100,100,100,100,100,100,0,100,0,0,100
Middle East,ISR,Audi,A2,43.75,75,25,50,25,100,100,0,100,100,0,0,0,100,0,100,0,0,0,0,100
Middle East,ISR,Audi,A3,43.75,75,25,25,50,0,100,100,100,0,0,0,100,100,0,0,0,100,0,0,100
Middle East,ISR,Audi,A4,50,25,75,50,50,0,0,0,100,100,100,0,100,100,0,0,100,100,0,0,100
Middle East,ISR,Audi,A6,43.75,50,75,25,25,100,100,0,0,100,0,100,100,0,0,100,0,0,0,100,0
Middle East,ISR,Audi,A8,62.5,50,100,50,50,0,100,0,100,100,100,100,100,0,0,100,100,0,100,0,100
Middle East,ISR,Volkswagen,Polo,50,75,75,25,25,100,100,0,100,100,100,100,0,0,100,0,0,0,0,0,100
Middle East,ISR,Volkswagen,Golf,62.5,75,75,50,50,100,100,100,0,0,100,100,100,0,0,100,100,0,0,100,100
Middle East,ISR,Volkswagen,Jetta,50,100,25,75,0,100,100,100,100,0,0,0,100,100,0,100,100,0,0,0,0
Middle East,ISR,Volkswagen,Passat,56.25,75,75,25,50,100,100,100,0,100,100,0,100,0,0,100,0,0,0,100,100
Middle East,ISR,Volkswagen,Beetle,50,75,50,25,50,100,100,0,100,0,0,100,100,0,0,0,100,0,100,100,0
Middle East,ISR,Volkswagen,T5,31.25,25,50,25,25,0,100,0,0,0,0,100,100,0,0,0,100,0,100,0,0
Middle East,ISR,Seat,Leon,50,50,50,25,75,0,100,100,0,100,0,0,100,0,0,100,0,100,100,100,0
Middle East,ISR,Seat,Cordoba,43.75,75,25,50,25,100,100,0,100,0,0,100,0,0,100,0,100,100,0,0,0
Middle East,ISR,Seat,Ateca,68.75,50,50,75,100,100,0,100,0,100,0,100,0,100,0,100,100,100,100,100,100
Middle East,ISR,Seat,Alhambra,62.5,75,75,50,50,0,100,100,100,0,100,100,100,0,100,0,100,100,0,0,100
Middle East,ISR,Mercedes,C100,50,25,75,50,50,0,0,0,100,100,100,0,100,0,100,0,100,0,100,0,100
Middle East,ISR,Mercedes,E500,43.75,25,50,25,75,100,0,0,0,100,0,100,0,0,0,0,100,100,100,0,100
Middle East,ISR,Mercedes,C230,50,100,0,50,50,100,100,100,100,0,0,0,0,100,0,100,0,100,0,100,0
Middle East,ISR,Mercedes,EQS,50,75,50,50,25,100,100,0,100,0,100,0,100,0,100,0,100,0,0,0,100
Middle East,ISR,Mercedes,EQE,56.25,50,100,50,25,0,100,100,0,100,100,100,100,0,0,100,100,0,100,0,0
Africa,South Africa,Audi,A1,75,75,100,75,50,100,100,0,100,100,100,100,100,100,100,100,0,100,0,0,100
Africa,South Africa,Audi,A2,56.25,50,50,50,75,100,0,0,100,100,0,100,0,100,0,0,100,100,100,100,0
Africa,South Africa,Audi,A3,50,50,50,25,75,100,0,100,0,100,0,100,0,0,100,0,0,100,100,0,100
Africa,South Africa,Audi,A4,62.5,75,25,75,75,100,0,100,100,100,0,0,0,0,100,100,100,100,100,100,0
Africa,South Africa,Audi,A6,75,75,75,75,75,100,0,100,100,100,100,100,0,100,0,100,100,0,100,100,100
Africa,South Africa,Audi,A8,62.5,75,50,75,50,100,100,100,0,100,0,0,100,0,100,100,100,100,0,0,100
Africa,South Africa,Volkswagen,Polo,56.25,50,100,25,50,0,100,0,100,100,100,100,100,0,100,0,0,0,0,100,100
Africa,South Africa,Volkswagen,Golf,31.25,50,25,25,25,0,100,0,100,0,0,100,0,100,0,0,0,0,100,0,0
Africa,South Africa,Volkswagen,Jetta,56.25,75,0,75,75,100,0,100,100,0,0,0,0,100,0,100,100,100,0,100,100
Africa,South Africa,Volkswagen,Passat,31.25,50,0,50,25,100,0,0,100,0,0,0,0,0,100,100,0,0,100,0,0
Africa,South Africa,Volkswagen,Beetle,37.5,25,25,75,25,100,0,0,0,0,0,100,0,100,0,100,100,0,0,100,0
Africa,South Africa,Volkswagen,T5,31.25,50,50,25,0,0,0,100,100,100,0,0,100,100,0,0,0,0,0,0,0
Africa,South Africa,Seat,Leon,37.5,50,25,0,75,100,100,0,0,0,0,0,100,0,0,0,0,100,100,0,100
Africa,South Africa,Seat,Cordoba,56.25,50,25,75,75,0,100,100,0,0,0,100,0,100,100,0,100,100,100,100,0
Africa,South Africa,Seat,Ateca,56.25,100,25,50,50,100,100,100,100,0,0,100,0,0,100,0,100,100,0,100,0
Africa,South Africa,Seat,Alhambra,37.5,50,50,50,0,100,100,0,0,0,100,100,0,0,100,100,0,0,0,0,0
Africa,South Africa,Mercedes,C100,25,25,50,0,25,0,0,0,100,100,100,0,0,0,0,0,0,100,0,0,0
Africa,South Africa,Mercedes,E500,50,75,50,25,50,100,100,0,100,0,100,0,100,0,100,0,0,0,100,0,100
Africa,South Africa,Mercedes,C230,75,75,75,75,75,100,100,100,0,100,0,100,100,100,100,0,100,100,100,100,0
Africa,South Africa,Mercedes,EQS,43.75,50,50,50,25,0,100,0,100,0,100,100,0,0,0,100,100,0,0,0,100
Africa,South Africa,Mercedes,EQE,50,0,50,75,75,0,0,0,0,100,0,100,0,100,0,100,100,100,0,100,100
